"CustomerID","First_Name","Last_Name","Phone_Number","Address","Paying Customer","Do_Not_Contact","Not_Useful_Column","",""
"1001","Frodo","Baggins","123-545-5421","123 Shire Lane, Shire","Yes","No","1","",""
"1002","Abed","Nadir","123/643/9775","93 West Main Street","No","Yes","","",""
"1003","Walter","/White","7066950392","298 Drugs Driveway","N","","1","",""
"1004","Dwight","Schrute","123-543-2345","980 Paper Avenue, Pennsylvania, 18503","Yes","Y","1","",""
"1005","Jon","Snow","876|678|3469","123 Dragons Road","Y","No","1","",""
"1006","Ron","Swanson","304-762-2467","768 City Parkway","Yes","Yes","1","",""
"1007","Jeff","  Winger","","1209 South Street","No","No","","",""
"1008","Sherlock","Holmes","876|678|3469","98 Clue Drive","N","No","","",""
"1009","Gandalf","","N/a","123 Middle Earth","Yes","","","",""
"1010","Peter","Parker","123-545-5421","25th Main Street, New York","Yes","No","1","",""
"1011","Samwise","Gamgee","","612 Shire Lane, Shire","Yes","No","1","",""
"1012","Harry","...Potter","7066950392","2394 Hogwarts Avenue","Y","","1","",""
"1013","Don","Draper","123-543-2345","2039 Main Street","Yes","N","","",""
"1014","Leslie","Knope","876|678|3469","343 City Parkway","Yes","No","","",""
"1015","Toby","Flenderson_","304-762-2467","214 HR Avenue","N","No","","",""
"1016","Ron","Weasley","123-545-5421","2395 Hogwarts Avenue","No","N","","",""
"1017","Michael ","Scott","123/643/9775","121 Paper Avenue, Pennsylvania","Yes","No","","",""
"1018","Clark","Kent","7066950392","3498 Super Lane","Y","","1","",""
"1019","Creed","Braton","N/a","N/a","N/a","Yes","1","",""
"1020","Anakin","Skywalker","876|678|3469","910 Tatooine Road, Tatooine","Yes","N","1","",""
"1020","Anakin","Skywalker","876|678|3469","910 Tatooine Road, Tatooine","Yes","N","1","",""
